顶点三角形平面索引
0,6,5,
0,1,6,
1,7,6,
1,2,7,
2,8,7,
2,3,8,
3,9,8,
3,4,9,
5,11,10,
5,6,11,
6,12,11,
6,7,12,
7,13,12,
7,8,13,
8,14,13,
8,9,14,
10,16,15,
10,11,16,
11,17,16,
11,12,17,
12,18,17,
12,13,18,
13,19,18,
13,14,19,
15,21,20,
15,16,21,
16,22,21,
16,17,22,
17,23,22,
17,18,23,
18,24,23,
18,19,24,

顶点坐标
0.0,0.0,0.0,
1.0,0.0,0.0,
2.0,0.0,0.0,
3.0,0.0,0.0,
4.0,0.0,0.0,
0.0,0.0,1.0,
1.0,0.0,1.0,
2.0,0.0,1.0,
3.0,0.0,1.0,
4.0,0.0,1.0,
0.0,0.0,2.0,
1.0,0.0,2.0,
2.0,0.0,2.0,
3.0,0.0,2.0,
4.0,0.0,2.0,
0.0,0.0,3.0,
1.0,0.0,3.0,
2.0,0.0,3.0,
3.0,0.0,3.0,
4.0,0.0,3.0,
0.0,0.0,4.0,
1.0,0.0,4.0,
2.0,0.0,4.0,
3.0,0.0,4.0,
4.0,0.0,4.0,
